City,Herzeliya,Ramat Hasharon,Ra'anana,Kefar Save,Tel Aviv,Ramat Gan,Holon,Bat Yam,Rishon LeTsiyon,Netanya,Hadera,Petah Tikva,Ness Ziona,Rehovot,Yavne,Ashdod,Modi'in,Lod,Hod HaSharon,Shefayim,Rosh Haayin
Herzeliya,0,1,1,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0
Ramat Hasharon,1,0,2,2,2,2,2,0,2,2,2,2,0,0,0,0,2,0,2,2,2
Ra'anana,1,2,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0
Kefar Save,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2
Tel Aviv,2,2,2,0,0,1,2,2,2,2,2,1,2,0,2,0,2,2,0,2,0
Ramat Gan,2,2,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0
Holon,0,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
Bat Yam,0,0,0,0,2,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0
Rishon LeTsiyon,0,2,0,0,2,2,1,1,0,0,0,0,1,0,2,2,2,0,0,0,0
Netanya,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
Hadera,2,2,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Petah Tikva,0,2,0,2,1,2,0,0,0,0,2,0,0,0,0,0,2,2,2,0,2
Ness Ziona,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,2,2,1,0,0,0
Rehovot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,2
Yavne,0,0,0,0,2,0,0,2,2,0,0,0,1,1,0,1,0,0,0,0,0
Ashdod,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,2,2,0,0,0
Modi'in,0,2,0,0,2,0,0,0,2,0,0,2,2,2,0,2,0,1,0,0,2
Lod,0,0,0,0,2,0,2,0,0,0,0,2,1,1,0,2,1,0,0,0,2
Hod HaSharon,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1
Shefayim,2,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Rosh Haayin,0,2,0,2,0,0,0,0,0,0,2,2,0,2,0,0,2,2,1,0,0